statement,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,category,elicitation
we should not send workers back due to corona threats,0,0,0,1,0,0,General reference,campaign email
we should not spend money on infrastructure that shrinks the economy,1,1,0,1,1,1,Society and social sciences,news media
we should not support antifa rioters,1,1,0,1,1,0,Society and social sciences,campaign email
we should not support irresponsible tax cuts and spending cuts,1,0,0,1,1,1,Society and social sciences,campaign email
we should not support voting against our liberties,0,0,0,1,1,0,General reference,campaign email
we should not teach buzzwords in schools without giving their background,0,1,0,0,0,1,Culture and the arts,news media
we should not use kids for political gain,0,0,1,1,1,0,General reference,campaign email
we should only purchase fireworks from reliable outlets,0,1,0,0,0,0,Culture and the arts,news media
we should open schools during covid 19 crisis as they are not big transmitters of the disease,1,0,0,1,0,1,General reference,news media
we should oppose politicians who are pro abortion,0,1,1,1,1,1,General reference,campaign email
we should oppose the weaponizing of a federal agency,1,0,0,1,1,1,Society and social sciences,campaign email
we should protect the 1st amendment,1,1,0,1,1,0,Society and social sciences,campaign email
we should protect the environment,0,0,0,1,1,0,Natural and physical sciences,campaign email
we should protect the environment and the planet including everything on it,1,1,1,1,1,1,Human activities,campaign email
we should put in safeguards to protect american national security,0,0,0,0,0,1,History and events,news media
we should put our faith in leaders who tackle crises effectively,1,0,0,1,1,1,Society and social sciences,campaign email
we should raise the voice for the hard working educators teacher parents and administrator,1,1,1,1,1,0,General reference,campaign email
we should remain opposed towards to voter suppression,0,0,0,0,0,1,Religion and belief systems,news media
we should respect free markets property rights and personal responsibility,1,1,0,1,1,1,Culture and the arts,campaign email
we should respect our police officers,1,1,0,1,0,0,General reference,news media
we should send our kids back to school,1,1,0,1,1,1,People and self,campaign email
we should show support towards our environment,1,0,0,1,1,1,Society and social sciences,campaign email
we should sign up for the mailing list,1,1,0,1,1,1,People and self,campaign email
we should stay at home when sick,1,1,1,1,1,1,General reference,campaign email
we should support a farm bill which invests in farm programs crop insurance conservation and rural development,0,1,0,0,1,1,Culture and the arts,news media
we should support a national mask mandate,0,1,0,1,1,1,Health and fitness,campaign email
we should support a person with compassion,1,1,0,1,1,0,Society and social sciences,campaign email
we should support abortion and woman's right to choose,0,1,0,1,0,1,Human activities,campaign email
we should support affordable care act succeeds,1,1,0,1,1,0,Society and social sciences,campaign email
we should support an international trade agenda which holds partners to their existing commitments,0,0,0,1,0,1,Culture and the arts,news media
we should support and protect women's sports,1,0,0,1,1,0,Health and fitness,campaign email
we should support andy ruff for congress,1,0,0,1,1,0,Society and social sciences,campaign email
we should support any means necessary for voters to have their voices heard,0,0,0,0,1,1,General reference,campaign email
we should support budget reduction,1,0,0,1,1,1,Society and social sciences,campaign email
we should support clean environment clean energy,1,1,0,1,1,0,Geography and places,campaign email
we should support conservative ideals,1,0,0,1,1,1,Society and social sciences,campaign email
we should support conservative policies,1,0,0,1,1,0,Society and social sciences,campaign email
we should support conservative politicians,1,1,0,1,1,1,Society and social sciences,campaign email
we should support conservative solutions to issues,1,1,0,1,1,1,Society and social sciences,campaign email
we should support constitutional carry,1,1,0,1,1,1,Society and social sciences,campaign email
we should support covid measures to be followed,1,1,0,1,1,1,People and self,campaign email
we should support environmental regulation,1,0,0,1,1,1,Society and social sciences,campaign email
we should support equity and opportunity,1,0,0,1,1,0,Philosophy and thinking,campaign email
we should support expanding vote by mail,1,1,1,0,1,1,History and events,campaign email
we should support for ralph shicatano,1,1,0,1,1,1,Society and social sciences,campaign email
we should support freedom and liberty,1,1,0,1,1,1,Society and social sciences,campaign email
we should support freedom transparency and accountability in our elections,1,0,0,1,1,1,Society and social sciences,campaign email
we should support getting rid of jennifer wexton,1,1,0,1,1,0,Society and social sciences,campaign email
we should support gun safety activity,1,0,0,1,1,0,Society and social sciences,campaign email
we should support harley rouda's reelection efforts,1,1,0,1,1,0,Society and social sciences,campaign email
we should support her dreams and passion,1,0,0,1,1,0,Culture and the arts,campaign email
we should support ike who wants to help with our struggles,1,1,0,1,1,1,Society and social sciences,campaign email
we should support initiative 1776,0,1,0,1,1,1,General reference,campaign email
we should support jesse philippe,1,0,0,1,1,0,Human activities,campaign email
we should support josh gottheimer for congress,1,0,0,1,1,0,Society and social sciences,campaign email
we should support keeping families off the street,1,1,0,0,1,0,Mathematics and logic,campaign email
we should support leaders who work for the people not themselves,1,1,0,1,1,0,People and self,campaign email
we should support listening to the advice of public healthy experts,0,1,1,1,1,1,General reference,campaign email
we should support lowering taxes,1,0,0,1,1,0,Human activities,campaign email
we should support maine values,1,0,0,0,1,0,Society and social sciences,campaign email
we should support medical fund,1,1,0,1,1,1,Society and social sciences,campaign email
we should support medicare for all and the green new deal,1,1,0,1,1,0,General reference,campaign email
we should support message about votebymail,0,0,0,1,1,0,General reference,campaign email
we should support meyer decision,1,1,1,1,0,0,Culture and the arts,campaign email
we should support moderate democrats that republicans can work with,1,1,0,1,1,0,History and events,campaign email
we should support nancy pelosi,1,0,0,1,1,1,Society and social sciences,campaign email
we should support not having restrictions on religious services,1,0,0,1,1,0,Religion and belief systems,campaign email
we should support our economy by continuing to do what we can to combat the spread of covid,1,1,0,1,1,0,Society and social sciences,campaign email
we should support our schools while controlling spending,1,1,0,1,1,1,Society and social sciences,news media
we should support phil king who supports public safety and a strong economy,1,1,0,1,1,1,Society and social sciences,campaign email
we should support pro law enforcement policies and public safety,1,0,0,1,1,1,Society and social sciences,campaign email
we should support progressive values,1,0,0,1,1,0,Religion and belief systems,campaign email
we should support protect our shared conservative,1,0,0,1,1,1,Society and social sciences,campaign email
we should support protecting the 2nd amendment defending life and securing the border,1,0,0,1,1,0,Society and social sciences,campaign email
we should support reforms to policing,1,1,1,1,1,0,Mathematics and logic,campaign email
